                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.90491,                0.53411,                 1.0585,                0.90195,                0.98742,                0.90291,                0.68697,                0.87763,                0.50701,                 1.1178,               0.000614,               0.000614,               0.000614
                     72,                0.91393,                0.52991,                 1.0893,                 0.9017,                0.98742,                 0.9059,                0.68585,                 0.9225,                0.50915,                 1.1142,              0.0005942,              0.0005942,              0.0005942
                     73,                0.88041,                 0.5247,                 1.0728,                0.90522,                0.98742,                0.90899,                0.69761,                0.88951,                0.50235,                 1.1213,              0.0005744,              0.0005744,              0.0005744
                     74,                0.87204,                0.52667,                 1.0664,                0.91217,                0.97975,                0.92067,                0.67197,                0.94521,                0.50318,                 1.1466,              0.0005546,              0.0005546,              0.0005546
                     75,                0.85061,                0.50854,                 1.0573,                 0.8966,                0.98742,                0.92323,                0.70419,                0.91699,                0.51335,                 1.1245,              0.0005348,              0.0005348,              0.0005348
                     76,                0.85928,                0.50026,                 1.0561,                0.90138,                0.98742,                0.90703,                0.69449,                0.89479,                0.51119,                 1.1204,               0.000515,               0.000515,               0.000515
                     77,                0.83376,                 0.5106,                 1.0419,                0.90617,                0.98742,                0.90586,                0.69027,                0.90866,                0.52081,                 1.1143,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.8542,                0.52715,                 1.0493,                0.89675,                0.98324,                0.93245,                0.71196,                0.88266,                0.50007,                 1.1108,              0.0004754,              0.0004754,              0.0004754
                     79,                0.91696,                0.54558,                 1.0882,                0.89982,                0.98742,                0.91521,                0.65436,                 1.0045,                0.52012,                 1.1614,              0.0004556,              0.0004556,              0.0004556
                     80,                0.86912,                0.54295,                 1.0677,                0.90124,                0.98742,                0.91017,                0.68861,                0.91398,                0.49808,                 1.1153,              0.0004358,              0.0004358,              0.0004358
                     81,                0.84498,                0.50295,                  1.046,                0.90174,                0.98742,                0.92006,                0.71572,                0.89075,                0.48551,                 1.1065,               0.000416,               0.000416,               0.000416
                     82,                0.87052,                0.51923,                 1.0612,                  0.907,                0.98742,                0.91316,                0.70723,                0.88541,                0.48338,                 1.1245,              0.0003962,              0.0003962,              0.0003962
                     83,                0.80144,                0.48568,                 1.0444,                0.91242,                0.98742,                0.92368,                0.70385,                0.90964,                0.49354,                 1.1317,              0.0003764,              0.0003764,              0.0003764
